"w1","x1","x2","288.15","293.15","298.15","303.15","308.15","313.15","318.15"
"0.8","0.42093959079186","0.57906040920814","0.00074519227506145","0.00097498851041428","0.0012480819552228","0.0015847073378931","0.0019965932376237","0.0024970422502146","0.00320119870714"
"0.8","0.42093959079186","0.57906040920814","0.00075692160147091","0.00099061757623623","0.0012286617999996","0.0015637416598128","0.0020245056110857","0.0025319509008726","0.0032650306093603"
"0.8","0.42093959079186","0.57906040920814","0.00074280501360348","0.00097144912613605","0.0012079957085236","0.0015605203519936","0.0019927006279355","0.0024921739522199","0.0032268297512308"
"0.85","0.5073467767137","0.4926532232863","0.0016572916383751","0.0021362579379461","0.0027303701444764","0.003461577133745","0.0043549409334151","0.0054388425089221","0.006845392943613"
"0.85","0.5073467767137","0.4926532232863","0.0016282393159544","0.0021396973132262","0.0027036671244634","0.0034819312072915","0.0044197424545043","0.0055197724854548","0.006756402835346"
"0.85","0.5073467767137","0.4926532232863","0.0016064697563001","0.0021524499092131","0.0027490616954832","0.0034976347170364","0.0043879645062564","0.0054800853212844","0.0067786989647027"
"0.9","0.6205804686323","0.3794195313677","0.003636225839071","0.004679732427995","0.0059719077417322","0.0075598312084413","0.0094970359777838","0.011844049584795","0.014668828220027"
"0.9","0.6205804686323","0.3794195313677","0.0036608067257431","0.0046351345779562","0.0060278645172722","0.0074324480525791","0.0096072965654858","0.011981559000475","0.014895754992591"
"0.9","0.6205804686323","0.3794195313677","0.0035924228561063","0.0046925638953771","0.0060113481684949","0.0072910085661385","0.0095089178486553","0.01185886783631","0.014784781617896"
"0.95","0.77542945916038","0.22457054083962","0.0079371753108786","0.010199372495071","0.012995402981414","0.016426131022474","0.02060530254755","0.025661323323451","0.03173560678224"
"0.95","0.77542945916038","0.22457054083962","0.0080567885428136","0.010049645706843","0.013196311911507","0.016504812190072","0.02030199249405","0.02528358864413","0.031676578553625"
"0.95","0.77542945916038","0.22457054083962","0.0080241585492152","0.010224710535057","0.013072794432015","0.016618365297939","0.020085776273989","0.02501431842507","0.032095976453675"
"1","1","0","0.017493454274918","0.023760178133084","0.027736523435235","0.034667124381912","0.046864831347745","0.055664582222131","0.069325445187525"
"1","1","0","0.017420681505134","0.024045062668899","0.027953977778967","0.034625870503898","0.047031670147343","0.056013042506841","0.06851780375109"
"1","1","0","0.017306799117804","0.02406834764347","0.027605884409855","0.03490112747149","0.047614200000995","0.055873881051286","0.070647481427251"
